N,Diff,prevalence,p_error
10,1,0.0001,4.4976006297048343e-07
10,1,0.0005,1.1220039343506905e-05
10,1,0.001,4.4760628993056883e-05
10,1,0.005,0.0010953906163501115
10,1,0.01,0.004266200242831419
10,1,0.05,0.0861383558993164
11,1,0.0001,5.496700989926495e-07
11,1,0.0005,1.370881181728123e-05
11,1,0.001,5.4670988154259526e-05
11,1,0.005,0.0013343630109394766
11,1,0.01,0.005179717490315094
11,1,0.05,0.1018945911424316
12,1,0.0001,6.59560148497107e-07
12,1,0.0005,1.6445092713590626e-05
12,1,0.001,6.556148183656241e-05
12,1,0.005,0.0015959182968176
12,1,0.01,0.006174537772824729
12,1,0.05,0.11835985697148699
13,1,0.0001,7.794282144146791e-07
13,1,0.0005,1.9428633901807935e-05
13,1,0.001,7.743013986061253e-05
13,1,0.005,0.0018798246707616428
13,1,0.01,0.00724894367793516
13,1,0.05,0.13542385973978077
14,1,0.0001,9.092723002313008e-07
14,1,0.0005,2.2659187437490402e-05
14,1,0.001,9.027499500702252e-05
14,1,0.005,0.00218585208300881
14,1,0.01,0.008401244011166153
14,1,0.05,0.15298556258881646
15,1,0.0001,1.0490904094329068e-06
15,1,0.0005,2.6136505562490697e-05
15,1,0.001,0.0001040940830130399
15,1,0.005,0.0025137722255167416
15,1,0.01,0.009629773443364686
15,1,0.05,0.17095253550359912
16,1,0.0001,1.1988805458384988e-06
16,1,0.0005,2.9860340704623844e-05
16,1,0.001,0.00011888544256799527
16,1,0.005,0.00286335852029751
16,1,0.01,0.010932892162518248
16,1,0.05,0.18924034722043137
17,1,0.0001,1.3586407137111678e-06
17,1,0.0005,3.383044547744518e-05
17,1,0.001,0.0001346471153097495
17,1,0.005,0.0032343861078248937
17,1,0.01,0.012308985529944305
17,1,0.05,0.20777199642682165
18,1,0.0001,1.5283689176470716e-06
18,1,0.0005,3.80465726804724e-05
18,1,0.001,0.00015137714582058592
18,1,0.005,0.003626631835513927
18,1,0.01,0.013756463740805525
18,1,0.05,0.22647737984452143
19,1,0.0001,1.7080631623533904e-06
19,1,0.0005,4.2508475298630444e-05
19,1,0.001,0.00016907358162332464
19,1,0.005,0.004039874246273389
19,1,0.01,0.015273761488896587
19,1,0.05,0.2452927949293845
20,1,0.0001,1.8977214528703712e-06
20,1,0.0005,4.721590650247354e-05
20,1,0.001,0.0001877344731773256
20,1,0.005,0.00447389356712935
20,1,0.01,0.016859337635651728
20,1,0.05,0.2641604750561498
21,1,0.0001,2.0973417946823503e-06
21,1,0.0005,5.216861964807418e-05
21,1,0.001,0.00020735787387460292
21,1,0.005,0.0049284716979206555
21,1,0.01,0.01851167488332295
