N,Diff,prevalence,p_error
10,1,0.0001,0.000999550119978987
10,1,0.0005,0.004988764986882832
10,1,0.001,0.009955119790251765
10,1,0.005,0.048889869534228136
10,1,0.01,0.09561792499119548
10,1,0.05,0.401263060761621
11,1,0.0001,0.0010994501649670418
11,1,0.0005,0.005486270604389443
11,1,0.001,0.010945164670461582
11,1,0.005,0.053645420186556936
11,1,0.01,0.10466174574128351
11,1,0.05,0.43119990772354
12,1,0.0001,0.0011993402199504954
12,1,0.0005,0.0059835274690872575
12,1,0.001,0.0119342195057911
12,1,0.005,0.05837719308562417
12,1,0.01,0.11361512828387066
12,1,0.05,0.459639912337363
13,1,0.0001,0.0012992202859285484
13,1,0.0005,0.006480535705352675
13,1,0.001,0.012922285286285251
13,1,0.005,0.06308530712019611
13,1,0.01,0.12247897700103205
13,1,0.05,0.48665791672049485
14,1,0.0001,0.0013990903638999574
14,1,0.0005,0.006977295437500031
14,1,0.001,0.013909363000998987
14,1,0.005,0.0677698805845951
14,1,0.01,0.13125418723102167
14,1,0.05,0.5123250208844701
15,1,0.0001,0.0014989504548634791
15,1,0.0005,0.007473806789781268
15,1,0.001,0.014895453637998046
15,1,0.005,0.07243103118167216
15,1,0.01,0.13994164535871145
15,1,0.05,0.5367087698402466
16,1,0.0001,0.001598800559818092
16,1,0.0005,0.007970069886386377
16,1,0.001,0.01588055818435996
16,1,0.005,0.07706887602576373
16,1,0.01,0.14854222890512436
16,1,0.05,0.5598733313482342
17,1,0.0001,0.001698640679762109
17,1,0.0005,0.008466084851443179
17,1,0.001,0.016864677626175606
17,1,0.005,0.08168353164563491
17,1,0.01,0.15705680661607313
17,1,0.05,0.5818796647808225
18,1,0.0001,0.0017984708156940643
18,1,0.0005,0.00896185180901743
18,1,0.001,0.017847812948549424
18,1,0.005,0.08627511398740673
18,1,0.01,0.1654862385499124
18,1,0.05,0.6027856815417814
19,1,0.0001,0.0018982909686124927
19,1,0.0005,0.009457370883112937
19,1,0.001,0.018829965135600868
19,1,0.005,0.09084373841746973
19,1,0.01,0.17383137616441324
19,1,0.05,0.6226463974646923
20,1,0.0001,0.0019981011395157067
20,1,0.0005,0.009952642197671446
20,1,0.001,0.01981113517046529
20,1,0.005,0.09538951972538234
20,1,0.01,0.18209306240276912
20,1,0.05,0.6415140775914577
21,1,0.0001,0.0020979013294016857
21,1,0.0005,0.010447665876572532
21,1,0.001,0.020791324035294823
21,1,0.005,0.09991257212675542
21,1,0.01,0.19027213177874147
21,1,0.05,0.6594383737118849
22,1,0.0001,0.0021976915392687424
22,1,0.0005,0.01094244204363426
22,1,0.001,0.021770532711259505
22,1,0.005,0.10441300926612163
22,1,0.01,0.19836941046095402
22,1,0.05,0.6764664550262907
23,1,0.0001,0.002297471770114856
23,1,0.0005,0.011436970822612413
23,1,0.001,0.022748762178548265
23,1,0.005,0.10889094421979106
23,1,0.01,0.2063857163563445
23,1,0.05,0.6926431322749761
24,1,0.0001,0.0023972420229377844
24,1,0.0005,0.01193125233720116
24,1,0.001,0.023726013416369707
24,1,0.005,0.11334648949869208
24,1,0.01,0.21432185919278102
24,1,0.05,0.7080109756612272
25,1,0.0001,0.0024970022987355067
25,1,0.0005,0.012425286711032602
25,1,0.001,0.024702287402953327
25,1,0.005,0.1177797570511987
25,1,0.01,0.22217864060085324
25,1,0.05,0.7226104268781659
26,1,0.0001,0.0025967525985056694
26,1,0.0005,0.012919074067677006
26,1,0.001,0.025677585115550405
26,1,0.005,0.12219085826594267
26,1,0.01,0.22995685419484468
26,1,0.05,0.7364799055342577
27,1,0.0001,0.002696492923245808
27,1,0.0005,0.013412614530643241
27,1,0.001,0.026651907530434893
27,1,0.005,0.12657990397461294
27,1,0.01,0.23765728565289623
27,1,0.05,0.7496559102575446
28,1,0.0001,0.0027962232739534576
28,1,0.0005,0.013905908223377894
28,1,0.001,0.02762525562290441
28,1,0.005,0.13094700445473983
28,1,0.01,0.2452807127963672
28,1,0.05,0.7621731147446675
29,1,0.0001,0.002895943651626043
29,1,0.0005,0.014398955269266156
29,1,0.001,0.02859763036728158
29,1,0.005,0.1352922694324662
29,1,0.01,0.25282790566840363
29,1,0.05,0.7740644590074341
30,1,0.0001,0.002995654057260877
30,1,0.0005,0.0148917557916316
30,1,0.001,0.029569032736914247
30,1,0.005,0.13961580808530383
30,1,0.01,0.26029962661171957
30,1,0.05,0.7853612360570624
31,1,0.0001,0.0030953544918551623
31,1,0.0005,0.015384309913735739
31,1,0.001,0.030539463704177372
31,1,0.005,0.14391772904487732
31,1,0.01,0.2676966303456023
31,1,0.05,0.7960931742542092
32,1,0.0001,0.00319504495640599
32,1,0.0005,0.01587661775877891
32,1,0.001,0.031508924240473135
32,1,0.005,0.14819814039965296
32,1,0.01,0.2750196640421463
32,1,0.05,0.8062885155414988
33,1,0.0001,0.003294725451910341
