Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,9.0,150.0,9,0,0.0,1.0
Hierarchical,Hierarchical,15.72,100.0,[3 3 3 3],100,12.72,5.0
Random,Random,16.0,108.0,16,0,0.0,1.0
multidim-4,multidim-4,17.0,80.0,17,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,19.0,100.0,19,0,0.0,1.0
STD,STD,20.0,60.0,20,0,0.0,1.0
multidim-3,multidim-3,21.0,49.0,21,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,150.0,28,0,0.0,1.0
Matrix,Matrix,35.0,18.0,35,0,0.0,1.0
multidim-2,multidim-2,35.0,18.0,35,0,0.0,1.0
