,pool_1,pool_2,pool_3,pool_4,pool_5,pool_6,pool_7
compound_1,False,False,False,False,False,False,True
compound_2,False,False,False,False,False,True,False
compound_3,False,False,False,False,False,True,True
compound_4,False,False,False,False,True,False,False
compound_5,False,False,False,False,True,False,True
compound_6,False,False,False,False,True,True,False
compound_7,False,False,False,False,True,True,True
compound_8,False,False,False,True,False,False,False
compound_9,False,False,False,True,False,False,True
compound_10,False,False,False,True,False,True,False
compound_11,False,False,False,True,False,True,True
compound_12,False,False,False,True,True,False,False
compound_13,False,False,False,True,True,False,True
compound_14,False,False,False,True,True,True,False
compound_15,False,False,False,True,True,True,True
compound_16,False,False,True,False,False,False,False
compound_17,False,False,True,False,False,False,True
compound_18,False,False,True,False,False,True,False
compound_19,False,False,True,False,False,True,True
compound_20,False,False,True,False,True,False,False
compound_21,False,False,True,False,True,False,True
compound_22,False,False,True,False,True,True,False
compound_23,False,False,True,False,True,True,True
compound_24,False,False,True,True,False,False,False
compound_25,False,False,True,True,False,False,True
compound_26,False,False,True,True,False,True,False
compound_27,False,False,True,True,False,True,True
compound_28,False,False,True,True,True,False,False
compound_29,False,False,True,True,True,False,True
compound_30,False,False,True,True,True,True,False
compound_31,False,False,True,True,True,True,True
compound_32,False,True,False,False,False,False,False
compound_33,False,True,False,False,False,False,True
compound_34,False,True,False,False,False,True,False
compound_35,False,True,False,False,False,True,True
compound_36,False,True,False,False,True,False,False
compound_37,False,True,False,False,True,False,True
compound_38,False,True,False,False,True,True,False
compound_39,False,True,False,False,True,True,True
compound_40,False,True,False,True,False,False,False
compound_41,False,True,False,True,False,False,True
compound_42,False,True,False,True,False,True,False
compound_43,False,True,False,True,False,True,True
compound_44,False,True,False,True,True,False,False
compound_45,False,True,False,True,True,False,True
compound_46,False,True,False,True,True,True,False
compound_47,False,True,False,True,True,True,True
compound_48,False,True,True,False,False,False,False
compound_49,False,True,True,False,False,False,True
compound_50,False,True,True,False,False,True,False
compound_51,False,True,True,False,False,True,True
compound_52,False,True,True,False,True,False,False
compound_53,False,True,True,False,True,False,True
compound_54,False,True,True,False,True,True,False
compound_55,False,True,True,False,True,True,True
compound_56,False,True,True,True,False,False,False
compound_57,False,True,True,True,False,False,True
compound_58,False,True,True,True,False,True,False
compound_59,False,True,True,True,False,True,True
compound_60,False,True,True,True,True,False,False
compound_61,False,True,True,True,True,False,True
compound_62,False,True,True,True,True,True,False
compound_63,False,True,True,True,True,True,True
compound_64,True,False,False,False,False,False,False
compound_65,True,False,False,False,False,False,True
compound_66,True,False,False,False,False,True,False
compound_67,True,False,False,False,False,True,True
compound_68,True,False,False,False,True,False,False
compound_69,True,False,False,False,True,False,True
compound_70,True,False,False,False,True,True,False
compound_71,True,False,False,False,True,True,True
compound_72,True,False,False,True,False,False,False
compound_73,True,False,False,True,False,False,True
compound_74,True,False,False,True,False,True,False
compound_75,True,False,False,True,False,True,True
compound_76,True,False,False,True,True,False,False
compound_77,True,False,False,True,True,False,True
compound_78,True,False,False,True,True,True,False
compound_79,True,False,False,True,True,True,True
compound_80,True,False,True,False,False,False,False
compound_81,True,False,True,False,False,False,True
compound_82,True,False,True,False,False,True,False
compound_83,True,False,True,False,False,True,True
compound_84,True,False,True,False,True,False,False
compound_85,True,False,True,False,True,False,True
compound_86,True,False,True,False,True,True,False
compound_87,True,False,True,False,True,True,True
compound_88,True,False,True,True,False,False,False
compound_89,True,False,True,True,False,False,True
compound_90,True,False,True,True,False,True,False
compound_91,True,False,True,True,False,True,True
compound_92,True,False,True,True,True,False,False
compound_93,True,False,True,True,True,False,True
compound_94,True,False,True,True,True,True,False
compound_95,True,False,True,True,True,True,True
compound_96,True,True,False,False,False,False,False
compound_97,True,True,False,False,False,False,True
compound_98,True,True,False,False,False,True,False
compound_99,True,True,False,False,False,True,True
compound_100,True,True,False,False,True,False,False
compound_101,True,True,False,False,True,False,True
compound_102,True,True,False,False,True,True,False
compound_103,True,True,False,False,True,True,True
compound_104,True,True,False,True,False,False,False
compound_105,True,True,False,True,False,False,True
compound_106,True,True,False,True,False,True,False
compound_107,True,True,False,True,False,True,True
compound_108,True,True,False,True,True,False,False
compound_109,True,True,False,True,True,False,True
compound_110,True,True,False,True,True,True,False
compound_111,True,True,False,True,True,True,True
compound_112,True,True,True,False,False,False,False
compound_113,True,True,True,False,False,False,True
compound_114,True,True,True,False,False,True,False
compound_115,True,True,True,False,False,True,True
compound_116,True,True,True,False,True,False,False
compound_117,True,True,True,False,True,False,True
compound_118,True,True,True,False,True,True,False
compound_119,True,True,True,False,True,True,True
compound_120,True,True,True,True,False,False,False
