TF_A,TF_B,TF_C,TF_D,TF_E,TF_F,TF_G,TF_H,TF_I,TF_J
2.68714,0.940524,4.47941,0.790998,0.193279,0.897541,0,7.73547,1.25298,0.319697
3.03148,0.890821,4.72549,0.856817,0.0424113,1.14847,0,8.54674,0.98854,0.0552526
3.58493,1.10556,4.9297,1.18708,0.155988,1.14847,0,9.30608,0.98854,0.169506
3.7407,1.14401,4.95762,1.01078,0.320424,0.972172,0,9.66764,1.76735,0
3.81034,1.72727,5.17138,0.966126,0,0.266987,0,9.75343,2.7336,0
4.68357,1.99171,5.46374,1.23057,0,1.0468,0,10.8405,2.99805,0
5.39279,1.63912,6.20639,0.712846,0,0.178839,0,11.1388,4.07811,0
5.33946,1.19838,6.27617,0.272105,0,0,0,10.585,3.63737,0
5.54031,0.807342,5.92358,0,0,0,0,11.1997,3.93863,0
6.36022,1.31371,7.68728,0.32676,0,0.328102,0,11.5296,4.06359,0
7.75409,2.13423,8.06779,0.0846446,0.66457,1.10341,0,12.5986,4.00111,0
7.94468,2.21112,7.42284,0,0.1984,0.75082,0,12.3793,3.40974,0
9.27295,2.33772,7.33469,0.139299,0.56456,0.31909,0,13.7081,4.2767,0
9.52915,2.97068,7.30237,0,0.211968,0,0,14.1533,4.22536,0
9.0228,2.78313,6.77348,0,0,0,0,14.2888,3.93525,0
9.54344,2.78313,6.67137,0,0,0,0,14.5554,3.93525,0
10.3633,2.69498,6.80139,0.314428,0,0,0,15.1634,3.8471,0
10.431,2.12765,7.558,0.292099,0,0,0,15.943,3.49451,0
11.5829,2.38083,7.2796,0.115802,0,0,0,16.5012,4.27332,0
11.6628,1.94009,7.24728,0.335589,0,0,0,17.0096,4.31013,0
11.7633,3.05224,7.08494,0.159293,0,0,0,17.5293,4.37261,0
12.1958,3.8615,6.80654,0.0599799,0,0,0,17.9858,4.58572,0
12.1424,3.42076,6.67211,0,0,0,0,18.2163,4.38376,0
12.5647,3.80054,6.61188,0,0,0,0,18.3631,4.83564,0
12.9521,4.23002,6.50977,0,0,0,0,18.8694,4.83564,0
13.7945,4.39506,6.55165,0,0,0,0,19.2693,4.5712,0
14.4053,4.59854,6.0088,0,0,0,0,19.4297,4.13046,0
14.4955,5.10492,6.47305,0,0,0,0,19.4568,4.25542,0
15.3605,4.96706,6.01835,0,0,0,0,19.5788,4.38038,0
14.7557,3.6561,4.62634,0,0,0,0,18.7922,2.78257,0
15.7294,4.08558,4.34794,0,0,0,0,19.0069,3.08382,0
15.6883,4.06307,2.13909,0,0,0,0,19.2825,0.857832,0
16.3873,3.19284,0.867554,0,0,0,0,19.4497,0.744016,0
16.4549,3.53418,0.561239,0,0,0,0,19.3751,1.61097,0
14.9974,2.48766,0,0,0,0,0,18.853,0.993937,0
15.3295,3.13188,0,0,0,0,0,19.9287,1.71027,0
14.856,3.03248,0,0,0,0,0,19.7478,0,0
14.4235,2.90588,0,0,0,0,0,20.6518,0,0
13.4641,2.54203,0,0,0,0,0,20.7127,0.476193,0
13.0582,0.977881,0,0,0,0,0,20.9002,0.487337,0
12.9577,0.939436,0,0,0,0,0,20.6968,0.575485,0
12.3735,0.751882,0,0,0,0,0,20.7058,1.24048,0
13.1503,1.17011,0,0,0,0,0,20.082,0,0
13.5583,2.38166,0,0,0,0,0,20.5544,0,0
13.8986,2.05159,0,0,0,0,0,20.8934,0,0
14.0872,1.19262,0,0,0,0.762953,0,20.6087,0.00978401,0
15.4811,0.598102,0,0,0,1.19919,0,21.576,0.274228,0
15.5712,0.24551,0,0,0,1.01839,0,21.5081,0,0
15.4277,0.157362,0,0,0,0.586656,0,21.4833,0,0
15.1428,0,0,0,0,0.14141,0,20.9928,0,0
14.7574,0,0,0,0,0,0,21.2164,0,0
