Pool_0,Pool_1,Pool_2,Pool_3
3.97354,0,0,0.318658
4.71416,0,0,0.629986
5.08482,0,0,0.754321
5.45547,0,0,1.12733
6.01043,0,0,1.59432
5.91742,0,0,1.78131
5.63908,0,0,1.96782
5.54642,0,0.646747,2.46516
6.28842,0.534377,1.68757,3.27285
6.47306,1.26582,2.35636,4.64103
5.91707,0.960001,2.86925,4.8897
6.193,0.707776,2.65312,4.26949
6.09965,0.521761,2.63807,4.70515
6.28567,0.707776,2.82409,5.38851
6.93534,0.986798,3.44503,5.91621
7.76966,1.07981,3.95791,6.00921
8.23195,0.800783,4.95358,6.19669
7.95155,0.149731,4.56649,6.04298
7.95087,0,4.55144,6.69599
8.04387,0.0567239,4.64445,6.75816
8.96914,0,4.36543,6.60347
8.78106,0,3.79233,5.98375
8.68839,0,3.79233,6.23242
9.05939,0,3.79233,6.07676
9.05905,0,3.69932,6.01508
8.5947,0,3.85523,6.38857
8.77934,0,4.1821,6.38906
7.29053,0,3.02085,5.27444
7.28847,0,2.4628,5.21374
6.91576,0,1.90476,5.40171
7.09833,0,1.58058,4.65765
7.09971,0,1.25371,4.75065
6.82069,0,1.82949,5.18583
7.19168,0,2.52839,5.80751
7.56234,0,2.52839,5.21716
6.63398,0,2.7472,4.84513
6.9106,0,1.78433,4.69044
6.90923,0,2.01819,4.62925
6.81519,0,1.72412,4.31939
6.07147,0,0.902106,2.89148
6.07044,0,0.623084,2.6433
6.71909,0,1.21392,2.76813
5.69841,0,1.18382,3.04861
5.97571,0,1.09081,2.95561
5.88236,0,0.655878,2.83176
4.95435,0.0629833,1.04565,2.21106
4.76971,0.248998,0.796732,2.67707
4.95538,0.647825,0.811786,3.26742
4.21029,0,0,2.39952
3.19099,0.542201,0.985434,2.74168
3.37701,1.03404,0.922534,3.26938
2.54131,1.48646,0.115574,2.307
2.63363,1.39345,0,2.12098
3.37735,2.96196,0,2.6477
3.84067,2.96196,0,2.30553
4.39871,5.35492,0.532764,2.8019
5.14208,5.60714,1.24672,3.67029
4.40043,5.20832,1.58864,2.73875
3.75179,5.20832,1.60369,3.01777
4.40181,5.58035,1.55584,2.95463
4.02943,5.11531,1.43273,2.30309
4.58748,6.28499,1.99078,2.7368
4.68152,6.3512,1.84992,2.67365
5.42214,4.63609,1.32198,1.80379
4.95676,4.68969,0.0800929,1.12141
5.8858,5.34074,0.047299,0.902113
5.70116,4.30348,0.482229,0.528618
4.77246,3.74543,0,0
5.51721,4.06387,0,0.0302976
5.1469,4.76851,0,0
5.42523,4.24988,0,0
4.68289,4.88832,0,0
4.59401,5.60558,0.24568,0.773868
4.78105,6.07062,1.14565,0.865898
4.78174,5.03335,0.896732,0.86541
4.78105,6.98807,1.03759,1.08373
3.85407,6.89507,1.37951,0.586876
4.03974,7.90553,1.14565,1.11457
3.76003,6.52304,0,0.649532
3.66703,8.26494,0.323634,0
4.50134,7.44049,0.0747186,0
3.10933,6.57663,0,0
2.8303,6.29761,0,0
1.71353,4.68969,0,0
2.08453,4.17105,0,0
2.08349,4.19785,0,0
2.08178,3.73281,0,0
1.52339,3.08176,0,0
1.1517,3.41438,0,0
0.0363008,4.62504,0,0
0.776923,4.43903,0,0
0.68151,3.69497,0,0
0.77383,4.51942,0,0
0,3.53575,0,0
0,3.58934,0,0
0,3.36391,0,0
0,2.71286,0,0
0,0.652519,0,0
0,0.466504,0,0
0,1.07814,0,0
0,0.652519,0,0
0.111093,0,0,0
0.109031,0,0,0
0.0156802,0.879512,0,0
1.12661,0,0,0
2.70396,0.241076,0,0
3.07152,0,0,0
5.20416,0,0,0
7.05778,0,0,0
6.59274,0,0,0
6.12667,0,0,0
7.14976,0,0,0
8.26206,0,0,0
10.2118,0,0,0
11.6972,0,0,0
12.1618,0,0,0
14.2935,0,0,0
14.7554,0,0,0
14.8467,0.3467,0,0
14.7554,0,0,0
14.8439,0,0,0
16.051,0,0,0
15.7699,0,0,0
16.3252,0,0,0
17.3431,0,0,0
16.5071,0,0,0
17.1571,0,0,0
17.4368,0,0,0
17.3472,0,0,0
17.071,0,0,0
16.5184,0.146504,0.297284,0
15.5901,0.904744,0,0
14.5714,2.31404,0,0
14.8505,2.59306,0.360185,0
14.3875,2.68607,0.810168,0
14.0175,1.95462,0.561253,0
12.9045,1.98142,0.951023,0
11.9748,1.14435,0.641894,0
11.1391,0.373497,1.97948,0
9.74778,0.307287,1.6854,0
9.28411,0.520099,1.67035,0
7.79806,0,0.569314,0
5.66507,0,1.56498,0
4.92308,0,3.35254,0
4.18108,0,2.54558,0
4.08979,0,3.69447,0
3.6275,0,4.50143,0
3.62991,0.97252,4.62454,0
1.68294,0,3.92564,0
0,0,1.56766,0
0,0,1.21069,0
0,0,0.511788,0
0,0,1.25585,0
0,0,1.81389,0
0,0,1.28595,0
0,0,2.72891,0
0,0,3.02299,0
0,0,3.89016,0
0,0,4.09123,0
0,0,4.52616,0
0,0,4.72723,0
0,0,5.87611,0
