readout_id,TF_A,TF_B,TF_C,TF_D,TF_E,TF_F,TF_G,TF_H,TF_I,TF_J
cDAP_1,0,0,0,0,0,0,0,0,4.94064,0
cDAP_2,0,0,0,0,0,0,0,0,6.97581,0
cDAP_3,0,0,0,0,0,0,0,0,5.67926,0
cDAP_4,0,0,0,0,0,0,0,0,4.98522,0
cDAP_5,0,0,0,0,0,0,0,0,5.87784,0
cDAP_6,0,0,0,0,0,0,0,0,3.2513,0
cDAP_7,0,0,0,0,0,0,0,0,5.28647,0
cDAP_8,0,0,0,0,0,0,0,0,9.2832,0
cDAP_9,0,0,0,0,0,0,0,0,12.9385,0
cDAP_10,0,0,0,0,0,0,0,0,16.2189,0
cDAP_11,0,0,0,1.47245,0,0,0,0,15.3006,0
cDAP_12,0,0,0,3.24424,0,0,0,0,14.5072,0
cDAP_13,0,0,0,3.2654,0,0,0,0,12.9094,0
cDAP_14,0,0,0,3.42937,0,0,0,0,10.6321,0
cDAP_15,0,0,0,3.1091,0,0,0,0,9.00862,0
cDAP_16,0,0,0,3.19608,0,0,0,0,7.20884,0
cDAP_17,0,0,0,3.55867,0,0,0,0,6.98121,0
cDAP_18,0,0,0,3.82078,0,0,0,0,5.94572,0
cDAP_19,0,0,0,4.37083,0,0,0,0,6.78701,0
cDAP_20,0,0,0,0.878398,0,0,0,0,5.04634,0
cDAP_21,0,0,0,0.404163,0,0,0,0,3.36038,0
cDAP_22,0,0,0,0.326012,0,0,0,0,3.32019,0
cDAP_23,0,0,0,2.15363,0,0,0,0,1.67442,0
cDAP_24,0,0,0,2.20711,0,0,0,0,0,0
cDAP_25,0,0,0,2.20595,0,0,0,0,0,0
cDAP_26,0,0,0,2.0843,0,0,0,0,0,0
cDAP_27,0,0,0,2.4034,0,0,0,0,0,0
cDAP_28,0,0,0,0.894887,0,0,0,0,0,0
cDAP_29,0,0,0,1.58891,0,0,0,0,0,0
cDAP_30,0,0,0,2.85648,0,0,0,0,0,0
cDAP_31,0,0,0,0.775581,0,0,0,0,0,0
cDAP_32,0,0,0,0.622782,0,0,0,0,0,0
cDAP_33,0,0,0,0,0,0,0,0,0,0
cDAP_34,0,0,0,0,0,0,0,0,0,0
cDAP_35,0,0,0,0.407667,0,0,0,0,0,0
cDAP_36,0,0,0,0.398838,0,0,0,0,0,0
cDAP_37,0,0,0,0,0,0,0,0,0,0
cDAP_38,0,0,0,0,0,0,0,0,0,0
cDAP_39,0,0,0,0,0,0,0,0,0,0
cDAP_40,0,0,0,0,0,0,0,0,0,0
cDAP_41,0,0,0,0,0,0,0,0,0,0
cDAP_42,0,0,0,0.449849,0,0,0,0,0,0
cDAP_43,0,0,0,0,0,0,0,0,0,0
cDAP_44,0,0,0,0,0,0,0,0,0,0
cDAP_45,0,0,0,0,0,0,0,1.55374,0,0
cDAP_46,0,0,0,0,0,0,0,2.3902,0,0
cDAP_47,0,0,0,0.526179,0,0,0,3.21753,0,0
cDAP_48,0,0,0,0.945759,0,0,0,3.19739,0,0
cDAP_49,0,0,0,1.48581,0,0,0,3.77602,0,0
cDAP_50,0,0,0,0.715976,0,0,0,3.43035,0,0
cDAP_51,0,0,0,0,0,0,0,4.08816,0,0
cDAP_52,0,0,0,0.796463,0,0,0,5.49192,0,0
cDAP_53,0,0,0,2.09869,0,0,0,7.69578,0,0
cDAP_54,0,0,0,1.2642,0,0,0,9.53792,0.485977,0
cDAP_55,0,0,0,1.22188,0,0,0,11.2987,1.94768,0
cDAP_56,0,0,0,0,0,0,0,11.8188,2.41747,0
cDAP_57,0,0,0,0,0,0,0,11.6472,0,0
cDAP_58,0,0,0,0,0,0,0,11.9796,0,0
cDAP_59,0,0,0,0,0,0,0,13.5008,1.10876,0
cDAP_60,0,0,0,0,0,0,0,13.6636,0.833173,0
cDAP_61,0,0,0,0,0,0,0,14.6083,0,0
cDAP_62,0,0,0,0,0,0,0,14.6039,0,0
cDAP_63,0,0,0,0,0,0,0,14.4141,0,0
cDAP_64,0,0,0,0,0,0,0,14.8888,0,0
cDAP_65,0,0,0,0,0,0,0,14.8369,0,0
cDAP_66,0,0,0,0,0,0,0,14.8731,0,0
cDAP_67,0,0,0,0,0,0,0,14.6675,0,0
cDAP_68,0,0,0,0,0,0,0,13.9693,0,0
cDAP_69,0,0,0,0,0,0,0,13.7139,0,0
cDAP_70,0,0,0,0,0,0,0,14.1728,0,0
cDAP_71,0,0,0,0,0,0,0,14.4486,0,0
cDAP_72,0,0,0,0,0,0,0,14.1164,0,0
cDAP_73,0.528144,0.0664628,0,0,0,0,0,14.833,0.622434,0
cDAP_74,0.714703,0.507204,0,0,0,0,0,15.1607,0.0199197,0
cDAP_75,1.46497,1.12424,0,0,0,0,0,16.5054,0.636957,0
cDAP_76,1.60846,0.391869,0,0,0,0,0,16.7201,0.636957,0
cDAP_77,2.05122,0.303721,0,0,0,0,0,16.2658,0.0712554,0
cDAP_78,2.36074,0,0,0,0,0,0,16.4286,0,0
cDAP_79,2.89165,1.17394,0,0,0,0,0,17.1495,0,0
cDAP_80,3.32213,0,0,0,0,0,0,17.7304,0.0601107,0
cDAP_81,3.2217,0.326238,0,0,0,0,0,18.223,0.236407,0
cDAP_82,3.61938,1.70283,0,0,0,0,0,19.2852,0,0
cDAP_83,5.05632,2.18202,0,0,0,0,0,20.657,0.111446,0
cDAP_84,4.28351,2.25891,0,0,0,0,0,20.5508,1.43029,0
cDAP_85,5.16902,2.86469,0,0,0,0,0,21.3734,1.60659,0
cDAP_86,4.82669,2.60024,0,0,0,0,0,21.1971,1.10337,0
cDAP_87,4.88204,2.81498,0,0.10347,0,0,0,21.64,1.10337,0
cDAP_88,4.35315,2.19795,0,0,0,0,0,21.2761,0.247552,0
cDAP_89,4.88204,2.42395,0,0.0923056,0,0,0,21.9248,1.40462,0
cDAP_90,4.52944,2.24765,0,0.576536,0,0,0,21.5473,2.33406,0
cDAP_91,4.78362,2.42395,0.0911052,1.0831,0,0,0,22.5462,2.59851,0
cDAP_92,4.51918,2.71558,1.06588,1.2259,0,0,0,22.6049,2.72347,0
cDAP_93,4.06818,2.74276,0.346738,0.939126,0,0,0,22.519,2.10643,0
cDAP_94,4.65241,3.3598,1.07984,2.21669,0,0,0,23.7756,2.72347,0
cDAP_95,4.13378,3.43669,1.32592,1.8641,0,0,0,22.9168,3.0872,0
cDAP_96,3.8468,2.83091,1.96646,1.35754,0,0,0,23.3416,3.38846,0
cDAP_97,3.38352,2.47832,1.52572,0.674681,0,0,0,22.8308,2.70894,0
cDAP_98,3.53929,2.8581,1.75785,0.575369,0,0,0,22.6862,2.77142,0
cDAP_99,4.04765,3.24914,3.66993,0.916797,0,0.285588,0,23.1856,2.94772,0
cDAP_100,4.19316,2.34047,4.32443,0.982616,0,0,0,22.6048,3.3996,0
cDAP_101,3.42237,1.67373,3.85137,0,0,0,0,22.6092,2.04057,0
cDAP_102,2.16777,0.516543,3.38786,0,0,0,0,21.9084,0.69268,0
cDAP_103,2.1575,0.340247,5.55999,0,0,0,0,21.7638,2.4266,0
cDAP_104,3.18651,0.681581,7.30973,0,0,0,0,22.1186,3.05478,0
cDAP_105,2.73551,0,8.42848,0,0,0,0,22.1524,2.91529,0
cDAP_106,2.48334,0,9.63538,0,0,0,0,21.5919,2.80148,0
cDAP_107,1.76789,0,10.7681,0.196943,0,0,0,20.9319,1.92,0
cDAP_108,1.14884,0,13.0423,0.0206472,0,0,0,20.5974,1.7437,0
cDAP_109,1.08323,0,14.7318,0.251598,0,0,0,21.5601,1.47926,0
cDAP_110,0.123865,0,15.6001,0.118792,0,0,0,22.9815,1.07533,0
cDAP_111,0,0,17.2294,0,0,0,0,23.2503,0.370143,0
cDAP_112,0,0,19.1789,0,0,0,0,23.2276,0.318807,0
cDAP_113,0,0,20.0193,0,0,0,0,22.8705,0,0
cDAP_114,0,0,21.7227,0.369736,0,0,0,22.7529,0.0398394,0
cDAP_115,0,0,23.6583,0.402062,0,0,0,22.5494,0,0
cDAP_116,0,0,25.8584,1.04026,0,0,0,22.3233,0,0
cDAP_117,0,0,26.3924,1.47983,0,0,0,22.4475,0,0
cDAP_118,0,0,27.1402,1.31353,0,0,0,21.3852,0,0
cDAP_119,0,0,27.5207,0.98327,0,0,0,21.3716,0,0
cDAP_120,0,0,27.8828,1.87475,0,0,0,21.1388,0,0
cDAP_121,0,0,29.4328,2.2385,0,0,0,22.1174,0,0
cDAP_122,0,0,30.9041,2.22734,0,0,0,21.6632,0,0
cDAP_123,0,0,30.445,0.586019,0,0,0,20.2438,0,0
cDAP_124,0,0,30.9276,1.84125,0,0,0,20.1173,0,0
cDAP_125,0,0,31.7445,1.75311,0,0,0,20.4721,0,0
cDAP_126,0,0,32.0508,2.25967,0,0,0,20.9331,0,0
cDAP_127,0,0,32.1948,1.90707,0,0,0,21.7308,0,0
cDAP_128,0,0,32.6913,2.40247,0,0,0,21.984,0,0
cDAP_129,0,0,33.4619,2.3913,0,0,0,22.524,0,0
cDAP_130,0,0,35.5687,2.27083,0,0,0,24.1332,0,0
cDAP_131,0,0,35.2763,2.77739,0,0,0.84073,24.1332,0,0
cDAP_132,0,0,36.2136,2.21618,0,0,2.80073,24.8338,0,0
cDAP_133,0.297587,0,34.9097,1.51099,0,0,3.79109,25.3558,0,0
cDAP_134,0.529228,0,33.9629,0.861628,0,0,5.05308,25.6586,0,0
cDAP_135,0.30785,0,34.7797,1.11491,0,0,7.57706,26.418,0,0
cDAP_136,0.154095,0,32.6634,1.67612,0,0,9.1386,26.375,0,0
cDAP_137,0.0434057,0,31.6424,1.59914,0,0,10.182,26.8428,0,0
cDAP_138,0,0,30.8255,1.10374,0,0,10.0093,26.5829,0,0
cDAP_139,0.260753,0,31.9252,0.818138,0,0,11.7579,26.8203,0,0
cDAP_140,0.17059,0,30.8762,1.66613,0,0,15.1103,26.565,0,0
cDAP_141,0.599052,0,29.7435,2.52528,0,0,16.4218,26.4792,0,0
cDAP_142,1.27143,0,29.1213,2.49295,0,0,18.1281,26.6533,0.275237,0
cDAP_143,1.4908,0,28.5131,3.18697,0,0,22.5698,27.0556,0.804126,0
cDAP_144,1.51132,0,28.3691,2.87904,0,0,24.4875,27.2252,0.440389,0
cDAP_145,2.17344,0,28.2854,2.16386,0,0,26.2325,27.5326,0.88113,0
cDAP_146,1.77375,0,27.6169,1.93291,0,0,27.8012,26.9812,0,0
cDAP_147,3.33989,0,28.5447,2.83672,0,0,30.0787,27.874,1.18577,0
cDAP_148,4.76254,0,29.5885,4.31291,0,0,32.9202,29.0064,1.85414,0
cDAP_149,5.71366,0,28.4514,4.1701,0,0,34.1858,29.0878,1.3141,0
cDAP_150,6.31017,0,28.3816,4.01614,0,0,35.7968,29.0991,0.950367,0
cDAP_151,7.02965,0,27.7829,5.66745,0,0,39.0574,28.8844,1.81733,0
cDAP_152,7.06245,0,28.3956,5.33719,0,0,40.2313,29.0042,0.472814,0
